Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.553175%2B00%3A00,1,0,441.3331210016622,441.3331210016622,441.3331210016622,441.3331210016622,57.0,0.01735432706601488,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.563574%2B00%3A00,1,0,1153.3092960016802,1153.3092960016802,1153.3092960016802,1153.3092960016802,57.0,0.01735432706601488,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.691943%2B00%3A00,1,0,1066.4136490013334,1066.4136490013334,1066.4136490013334,1066.4136490013334,57.0,0.01735432706601488,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.813660%2B00%3A00,1,0,1700.0830599936307,1700.0830599936307,1700.0830599936307,1700.0830599936307,57.0,0.01735432706601488,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.033595%2B00%3A00,1,0,970.8566379995318,970.8566379995318,970.8566379995318,970.8566379995318,57.0,0.01735432706601488,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.061756%2B00%3A00,1,0,1414.8434650051058,1414.8434650051058,1414.8434650051058,1414.8434650051058,57.0,0.01735432706601488,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.079004%2B00%3A00,1,0,1397.2816540044732,1397.2816540044732,1397.2816540044732,1397.2816540044732,57.0,0.01735432706601488,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.080685%2B00%3A00,1,0,1432.499018003,1432.499018003,1432.499018003,1432.499018003,57.0,0.01735432706601488,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.109562%2B00%3A00,1,0,1182.7399300018442,1182.7399300018442,1182.7399300018442,1182.7399300018442,57.0,0.01735432706601488,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.158179%2B00%3A00,1,0,1791.0902029980207,1791.0902029980207,1791.0902029980207,1791.0902029980207,57.0,0.01735432706601488,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
